Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount

1243,13287,1,11245,5
1243,13287,3,11245,7
1243,13287,5,11245,13
1243,13287,3,11245,1
1243,13287,5,11245,15
1243,13287,5,11245,9
1243,13287,7,11245,3
1243,13287,9,11245,15
1243,13287,7,11245,5
1243,13287,9,11245,9
1243,13287,7,11245,11
1243,13287,5,11245,13
1243,13287,11,11245,7
1243,13287,7,11245,17
1243,13287,9,11245,19
1243,13287,9,11245,15
1243,13287,9,11245,3
1243,13287,11,11245,5
1243,13287,7,11245,15
1243,13287,7,11245,9
1243,13287,7,11245,17
1243,13287,9,11245,7
1243,13287,11,11245,17
1243,13287,13,11245,15
1243,13287,9,11245,9
1243,13287,11,11245,13
1243,13287,11,11245,17
1243,13287,13,11245,5
1243,13287,11,11245,11
1243,13287,9,11245,17
1243,13287,15,11245,17
1243,13287,11,11245,13
1243,13287,11,11245,17
1243,13287,11,11245,9
1243,13287,13,11245,17
1243,13287,15,11245,11
1243,13287,9,11245,13
1243,13287,9,11245,17
1243,13287,15,11245,17
1243,13287,9,11245,13
1243,13287,11,11245,17
1243,13287,17,11245,9
1243,13287,15,11245,9
1243,13287,15,11245,11
1243,13287,13,11245,17
1243,13287,17,11245,17
1243,13287,17,11245,7
1243,13287,11,11245,13
1243,13287,7,11245,17
1243,13287,13,11245,13
1243,13287,9,11245,15
1243,13287,13,11245,9
1243,13287,13,11245,13
1243,13287,11,11245,13
1243,13287,15,11245,17
1243,13287,17,11245,13
1243,13287,17,11245,15
1243,13287,15,11245,9
1243,13287,19,11245,11
1243,13287,13,11245,17
1243,13287,13,11245,19
1243,13287,13,11245,11
1243,13287,15,11245,9
1243,13287,15,11245,15
1243,13287,19,11245,15
1243,13287,17,11245,13
1243,13287,13,11245,13
1243,13287,17,11245,15
1243,13287,21,11245,7
1243,13287,13,11245,13
1243,13287,13,11245,11
1243,13287,11,11245,11
1243,13287,9,11245,15
1243,13287,11,11245,15
1243,13287,15,11245,17
1243,13287,19,11245,19
1243,13287,11,11245,19
1243,13287,17,11245,13
1243,13287,21,11245,17
1243,13287,15,11245,19
1243,13287,9,11245,15
1243,13287,17,11245,9
1243,13287,15,11245,19
1243,13287,17,11245,11
1243,13287,15,11245,13
1243,13287,13,11245,11
1243,13287,13,11245,13
1243,13287,13,11245,17
1243,13287,19,11245,7
1243,13287,15,11245,19
1243,13287,19,11245,15
1243,13287,17,11245,11
1243,13287,23,11245,11
1243,13287,19,11245,15
1243,13287,21,11245,13
1243,13287,19,11245,15
1243,13287,11,11245,19
1243,13287,13,11245,15
1243,13287,13,11245,17
1243,13287,15,11245,17
1243,13287,15,11245,15
1243,13287,21,11245,19
1243,13287,19,11245,11
1243,13287,15,11245,19
1243,13287,17,11245,17
1243,13287,23,11245,19
1243,13287,15,11245,15
1243,13287,19,11245,17
1243,13287,11,11245,13
1243,13287,21,11245,13
1243,13287,25,11245,19
1243,13287,19,11245,7
1243,13287,23,11245,17
1243,13287,17,11245,9
1243,13287,23,11245,17
1243,13287,13,11245,17
1243,13287,21,11245,13
1243,13287,15,11245,17
1243,13287,17,11245,17
1243,13287,11,11245,13
1243,13287,21,11245,15
1243,13287,23,11245,15
1243,13287,13,11245,15
1243,13287,15,11245,13
1243,13287,23,11245,17
1243,13287,17,11245,13
1243,13287,19,11245,15
1243,13287,17,11245,19
1243,13287,19,11245,19
1243,13287,17,11245,17
1243,13287,19,11245,13
1243,13287,11,11245,11
1243,13287,21,11245,17
1243,13287,17,11245,21
1243,13287,15,11245,17
1243,13287,23,11245,17
1243,13287,17,11245,13
1243,13287,13,11245,17
1243,13287,25,11245,19
1243,13287,25,11245,17
1243,13287,19,11245,17
1243,13287,15,11245,19
1243,13287,17,11245,7
1243,13287,15,11245,13
1243,13287,19,11245,19
1243,13287,23,11245,17
1243,13287,25,11245,15
1243,13287,21,11245,9
1243,13287,11,11245,17
1243,13287,17,11245,11
1243,13287,15,11245,21
1243,13287,27,11245,19
1243,13287,19,11245,13
1243,13287,11,11245,13
1243,13287,11,11245,15
1243,13287,21,11245,19
1243,13287,13,11245,17
1243,13287,23,11245,17
1243,13287,21,11245,11
1243,13287,17,11245,15
1243,13287,21,11245,17
1243,13287,23,11245,19
1243,13287,17,11245,13
1243,13287,23,11245,11
1243,13287,17,11245,11
1243,13287,17,11245,17
1243,13287,13,11245,15
1243,13287,13,11245,17
1243,13287,15,11245,11
1243,13287,25,11245,19
1243,13287,19,11245,9
1243,13287,25,11245,17
1243,13287,17,11245,17
1243,13287,19,11245,19
1243,13287,19,11245,13
1243,13287,23,11245,15
1243,13287,25,11245,19
1243,13287,15,11245,21
1243,13287,17,11245,19
1243,13287,17,11245,13
1243,13287,15,11245,11
1243,13287,21,11245,17
1243,13287,17,11245,19
1243,13287,25,11245,13
1243,13287,15,11245,19
1243,13287,19,11245,11
1243,13287,17,11245,19
1243,13287,27,11245,13
1243,13287,17,11245,15
1243,13287,17,11245,21
1243,13287,17,11245,15
1243,13287,15,11245,19
1243,13287,19,11245,19
1243,13287,15,11245,21
1243,13287,19,11245,21
1243,13287,19,11245,11
1243,13287,21,11245,19
1243,13287,23,11245,17
1243,13287,17,11245,21
1243,13287,21,11245,17
1243,13287,21,11245,19
1243,13287,23,11245,19
1243,13287,15,11245,13
1243,13287,17,11245,19
1243,13287,25,11245,19
1243,13287,19,11245,15
1243,13287,15,11245,17
1243,13287,21,11245,19
1243,13287,19,11245,19
1243,13287,13,11245,15
1243,13287,11,11245,19
1243,13287,13,11245,19
1243,13287,13,11245,17
1243,13287,21,11245,17
1243,13287,17,11245,19
1243,13287,17,11245,15
1243,13287,13,11245,15
1243,13287,27,11245,13
1243,13287,21,11245,17
