,Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount
min,10,22,1,21,1
max,10,22,9,21,7
avg,10,22,5,21,4
min,297,2348,1,2058,1
max,297,2348,29,2058,19
avg,297,2348,16,2058,13
min,593,5552,1,4743,1
max,593,5552,33,4743,21
avg,593,5552,19,4743,16
min,947,9654,1,8206,1
max,947,9654,37,8206,23
avg,947,9654,21,8206,17
min,1243,13287,1,11245,1
max,1243,13287,37,11245,23
avg,1243,13287,22,11245,18
min,1647,18599,1,15602,1
max,1647,18599,41,15602,25
avg,1647,18599,23,15602,18
min,1943,22489,1,18890,1
max,1943,22489,41,18890,25
avg,1943,22489,24,18890,19
min,2227,26286,1,22090,1
max,2227,26286,43,22090,25
avg,2227,26286,24,22090,19
min,2543,30649,1,25721,1
max,2543,30649,43,25721,27
avg,2543,30649,25,25721,20
min,2976,36809,1,30780,1
max,2976,36809,43,30780,27
avg,2976,36809,25,30780,20
